video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale,Unnamed: 10
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,27,05:47:59,05:53:52,0,100,0,00:05:53,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_27.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505.mp4,5,01:16:24,01:26:04,0,100,0,00:09:40,round-20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505_5.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191207__kPAjoufmE6Ub2F7sZKYqA_1575723475.mp4,13,02:41:46,02:44:56,0,100,0,00:03:10,round-20191207__kPAjoufmE6Ub2F7sZKYqA_1575723475_13.csv,(1531x50)(1817x336),1.513
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187.mp4,14,02:20:26,02:31:40,0,100,0,00:11:14,round-20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187_14.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,2,00:18:26,00:31:01,0,100,0,00:12:35,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_2.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187.mp4,15,02:35:31,02:36:59,0,100,0,00:01:28,round-20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187_15.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505.mp4,6,01:28:23,01:36:17,0,100,0,00:07:54,round-20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505_6.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,6,00:48:03,01:10:06,0,100,0,00:22:03,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_6.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,3,00:37:22,00:40:31,0,100,0,00:03:09,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_3.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482.mp4,15,02:17:40,02:33:36,0,100,0,00:15:56,round-20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482_15.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191207__kPAjoufmE6Ub2F7sZKYqA_1575723475.mp4,14,02:46:51,02:58:13,0,100,0,00:11:22,round-20191207__kPAjoufmE6Ub2F7sZKYqA_1575723475_14.csv,(1531x50)(1817x336),1.513
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191201_Dx2o5CTaSE6yJEWdMbMhZQ_1575177871.mp4,18,02:48:02,03:03:53,0,100,0,00:15:51,round-20191201_Dx2o5CTaSE6yJEWdMbMhZQ_1575177871_18.csv,(1519x11)(1805x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191204_vCjAoICgek6ZPNuYT2urug_1575430095.mp4,12,02:57:13,03:11:42,0,100,0,00:14:29,round-20191204_vCjAoICgek6ZPNuYT2urug_1575430095_12.csv,(1519x11)(1805x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191207__kPAjoufmE6Ub2F7sZKYqA_1575723475.mp4,15,03:00:15,03:05:11,0,100,0,00:04:56,round-20191207__kPAjoufmE6Ub2F7sZKYqA_1575723475_15.csv,(1531x50)(1817x336),1.513
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,28,07:15:24,07:17:48,0,100,0,00:02:24,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_28.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505.mp4,7,02:25:38,02:40:59,0,100,0,00:15:21,round-20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505_7.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,7,02:00:13,02:17:05,0,100,0,00:16:52,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_7.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,29,07:21:17,07:30:54,0,100,0,00:09:37,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_29.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505.mp4,8,02:43:09,02:51:19,0,100,0,00:08:10,round-20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505_8.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,8,02:19:02,02:32:22,0,100,0,00:13:20,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_8.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,30,07:33:22,07:46:16,0,100,0,00:12:54,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_30.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505.mp4,9,02:53:08,03:07:26,0,100,0,00:14:18,round-20191211_0pXPk3G4aESqYtDRZ92lIA_1576064505_9.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,31,07:48:33,07:50:50,0,100,0,00:02:17,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_31.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187.mp4,18,03:01:55,03:13:52,0,100,0,00:11:57,round-20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187_18.csv,(1520x11)(1806x297),0.95
