video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,5,01:06:49,01:09:05,0,100,0,00:02:16,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_5.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,1,00:06:52,00:18:32,0,100,0,00:11:40,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_1.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,6,01:11:04,01:12:35,0,100,0,00:01:31,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_6.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,2,00:23:24,00:27:32,0,100,0,00:04:08,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_2.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,7,01:14:15,01:18:20,0,100,0,00:04:05,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_7.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,5,00:35:13,00:52:45,0,100,0,00:17:32,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_5.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,3,00:29:25,00:34:20,0,100,0,00:04:55,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_3.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,8,01:39:34,01:57:19,-1,100,0,00:17:45,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_8.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,1,00:13:14,00:29:23,1,1,-1,00:16:09,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_1.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,4,00:38:01,00:43:45,0,100,0,00:05:44,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_4.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,2,00:35:45,00:38:51,0,100,0,00:03:06,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_2.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,9,01:57:19,02:03:36,-1,100,0,00:06:17,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_9.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,6,00:54:19,01:09:03,0,100,0,00:14:44,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_6.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,7,01:10:43,01:12:54,0,100,0,00:02:11,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_7.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,5,00:45:33,01:00:33,0,100,0,00:15:00,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_5.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,8,01:20:24,01:38:56,0,100,0,00:18:32,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_8.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,6,01:02:26,01:06:04,0,100,0,00:03:38,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_6.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,3,00:45:49,01:04:54,1,1,-1,00:19:05,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_3.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,7,01:07:37,01:16:08,0,100,0,00:08:31,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_7.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,9,01:40:57,01:51:09,0,100,0,00:10:12,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_9.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,8,01:14:33,01:28:29,0,100,0,00:13:56,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_8.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,9,01:30:11,01:32:28,0,100,0,00:02:17,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_9.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,8,01:17:42,01:26:21,0,100,0,00:08:39,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_8.csv,(1544x12)(1830x298); 1.444
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,4,01:07:43,01:25:38,0,100,0,00:17:55,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_4.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,10,02:03:36,02:22:26,-1,100,0,00:18:50,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_10.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,10,01:52:43,02:10:19,0,100,0,00:17:36,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_10.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,11,02:22:26,02:26:44,-1,100,0,00:04:18,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_11.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,10,01:34:20,01:50:56,-1,100,0,00:16:36,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_10.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,11,01:50:56,01:52:48,0,100,0,00:01:52,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_11.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,5,01:31:07,01:43:49,0,100,0,00:12:42,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_5.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_qJwoo7eGt0SierGANcRpig_1575160131.mp4,1,00:10:00,00:25:13,-1,100,0,00:15:13,round-20191201_qJwoo7eGt0SierGANcRpig_1575160131_1.csv,(1509x51)(1795x337); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_qJwoo7eGt0SierGANcRpig_1575160131.mp4,2,00:25:13,00:28:10,-1,-1,-1,00:02:57,round-20191201_qJwoo7eGt0SierGANcRpig_1575160131_2.csv,(1509x51)(1795x337); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,12,01:55:00,02:02:09,0,100,0,00:07:09,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_12.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,11,02:11:56,02:24:25,0,100,0,00:12:29,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_11.csv,(1610x12)(1896x298); 1.497
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,13,02:03:56,02:06:07,0,100,0,00:02:11,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_13.csv,(1601x12)(1887x298); 1.490
